題目,答案,連結
"請問下列哪個人跟八毛同一天生日?
(A)空之英秋
(B)聖結石
(C)重野秀一
(D)J·K·羅琳
",(B)聖結石,"23:04
https://www.youtube.com/watch?v=nZSSQxgF01M&t=1384s"
請問老王說她人生敢喝的只有哪一家的豬肝湯?,"大橋頭米糕","13:02
https://www.youtube.com/watch?v=MG3-uugp-f0&t=782s"
鳥屎說歐陽鋒如果當初聞過小六的什麼，可以一招就把郭靖幹掉?,小六的床墊,"19:09
https://www.youtube.com/watch?v=goXwSoeRdak&t=1149s"
"請問依照LNG中秋佳節聯歡晚會企劃書的內容，以下何者為正確?
(A)可以直接搭計程車到田季發爺
(B)網拍女王陳昭君負責網購木炭和烤肉網
(C)董事長會贊助PS5作為摸彩獎品
(D)南部野人是小六
",(B)網拍女王陳昭君負責網購木炭和烤肉網,"3:30
https://www.youtube.com/watch?v=-3qLZ96kSTM&t=210s"
請問ㄨㄐㄗㄉㄩㄙ是哪部電影的注音簡稱?,玩具總動員4,"7:32
https://youtu.be/uyJ5tyRiwcs?si=VlXgmHn8gZ5-MFPs&t=452s"
聽到有人會割開坐墊性侵機車，小六說要放什麼東西在坐墊裡?,鉛塊,"2:27
https://youtu.be/3nd0M8_9xVA?si=Ckk9-ny-dkhma_FN&t=147s"
請問是誰跟老王說  不要顧慮我啦 ?,老王的哥哥,"3:47
https://youtu.be/EtKL79NI24k?si=gH5dkXAeS7zV1Y90&t=227s"
請問六嘆說王媽媽排球隊隊衣的字可以寫什麼?,吃べ,"17:09
https://www.youtube.com/watch?v=tiF4-Qtzw8c&t=1029s"
"請問下列哪個選項並不是眾人跟小六推薦打疫苗要打的?
(A)AZ
(B)ARAM
(C)Apex
(D)以上皆非",(A)AZ,"7:30
https://youtu.be/pI1d3yaM8mM?si=Z1n9z68nLyhPVhl-&t=450s"
請問鳥屎幼稚園寫的志願是什麼?,妙奇牛排館的廚師,"3:01
https://youtu.be/hG0eD1qUrmI?si=6iH5MACkj2gTOvp8&t=181s"
如果六嘆開一個咖啡館的話，店名會叫什麼?,大罵咖啡館,"3:03
https://youtu.be/_y3RdtyPH18?si=1WxMhx4ApLtrdoG6&t=183s"
老王有一次在飲料店點了 [外交官的白鬍子] ，但店員直接說了它的一般的名字，讓老王很受傷，請問它代表了什麼飲料?,鮮奶茶,"11:36
https://youtu.be/4qXCF649B4w?si=kN6m7j_LjkDGVmJa&t=696s"
請問六嘆要Leggy用吃到好吃東西的聲音模仿暗黑地層裡女殭屍米拉說的哪句台詞?,阿~海德格，救我,"12:09
https://youtu.be/ary3Rm0NiAE?si=oTgo4hc0jaOZIoBo&t=729s"
老王問說有人可以一起玩遊戲嗎?八毛回了: [KPD]，請問KPD是什麼意思?,可陪打,"0:30
https://youtu.be/aZu-MKaQFNU?si=GBVhZMoqSJv0-Yuc&t=30s"
請問八毛最想要在當兵的時候吃什麼配白飯、配饅頭?,榮譽假,"17:27
https://youtu.be/_55WGwyp5j4?si=3ZjtWWRAYF-h9a1L&t=1047s"
六嘆小時候曾經在吃牛排的時候，因為肉太韌，所以肉從刀子彈掉，整塊肉直接san到臉上，而且因為它是加什麼醬，所以整個晚上都在流淚?,黑胡椒醬,"15:02
https://youtu.be/JnZwKOlRRbc?si=lZmGZUlnYjROsyvJ&t=902s"
請問觀眾曾經提問過LNG的前身是什麼?,六鳥花電台,"1:54
https://youtu.be/gbDg3LJBiR8?si=VVNkItO9vNprRimV&t=114s"
鳥屎以前宿舍裡面睡得最誇張的人，甚至有一次需要用打火機燒他懶毛的是誰?,門把,"18:27
https://youtu.be/4jULheQueKg?si=yrLbXiuqk3yY2BYf&t=1107s"
請問八老爺天地的答案是什麼?,王,"26:41
https://youtu.be/c4upbVbwCe0?si=GbKPQpjmidMx_WFE&t=1601s"
鳥屎說打工的時候，客人沒吃完的甜點他還是照吃，就連客人吃過的地方也照吃，原因是什麼東西可以殺菌?,好吃度可以殺菌,"9:19
https://youtu.be/yF_SYe1bzG8?si=-NdyPuPe-JdTSzIt&t=559s"
請問在老王給大家聽把最後一顆伊娃泡芙打開的聲音之後，八毛給大家聽什麼聲音?,沒有伊娃泡芙吃的聲音,"2:19
https://youtu.be/R16Sbt4nLnY?si=s6nkkTBF-Gon0M8d&t=139s"
"下列哪一個俗語配對錯誤?
(A)同事去夜唱不找小六－乏人問精(B)排不到假－家家有本難念的精
(C)小六去手槍店－林森北取精(D)按月計薪水－月精
(E)小六出門踩到大便－大吃一精(F)小六被開除－活該
(G)被停職－廢物精(H)幫同事打蜘蛛－工具人
",(D)按月計薪水－正職精,"0:12
https://youtu.be/m6xP78ucbcs?si=IOZans7q_RSU31Pd&t=12s"
請問老王以前很常看哪一部作品看到睡著?,火影忍者,"4:17
https://www.youtube.com/watch?v=b_cO2CVXr5g&t=257s"
請問Leggy小時候想當誰的新娘?,葉王的新娘,"4:24
https://youtu.be/hG0eD1qUrmI?si=vNW3I19NEnF0Op3r&t=264"
"在 LNG日常#1 幫肥宅搬家 影片中，以下敘述何者錯誤?
(A)六嘆和鳥屎一直說要開e-sport主題餐廳
(B)六嘆非常明顯地抓了兩次腋下
(C)六嘆被電梯夾到
(D)他們忘了拿啞鈴
",(D)他們忘了拿啞鈴,"0:00
https://youtu.be/_DIk6z8unxU?si=IezogqnT78Heums9"
老王曾經去曲臣氏買唇膏時，在場其他三個人都有認出老王，請問老王是去買的唇膏叫什麼名字?,謎樣裸玫瑰,"5:20
https://youtu.be/sEgifiUn7zY?si=XNOYPwT2aIa3iiJf&t=320s"
請問Leggy以前吃營養午餐的時候會拿珍珠奶茶來做什麼，讓聊天室從[有有有]變[⋯⋯]?,拿珍珠奶茶來泡飯,"2:28
https://youtu.be/QLJKrSb78os?si=TVyeGJGawM-GQ5D_&t=148s"
老王有一次想要找鳥屎簽名，所以密他說:「鳥屎，這禮拜有機會見到面嗎?」但鳥屎覺得這聽起來超像在找他幹嘛?,約砲,"5:39
https://youtu.be/gQ8-e6Ewuac?si=1_WbFOI68gbC88PO&t=339s"
是誰在小六上班的時候，在他耳邊講:「我是__。」,無星,"2:15
https://youtu.be/GMCYa9BGshg?si=KJyvg6tQr0goQygy&t=135s"
有一次Leggy在TGS邊等六嘆邊看星海的比賽，但因為隔壁攤位太吵，所以都聽不到主播的聲音。請問隔壁攤位是哪款遊戲?,神魔之塔,"0:25
https://youtu.be/x07Blnn-ZpI?si=P0PEQGxCdXEfomOZ&t=25s"
在LNG  2019年中秋聚會的桌上都擺著哪個品牌的手搖飲，讓觀眾懷疑是否是業配?,可不可,"1:27
https://youtu.be/ZLcsskS_PDs?si=faPkAHcvw_sjL6ql&t=87s"
請問如果斗內鳥屎的台十萬美金，鳥屎會幫你做什麼事情?,"預購GTA5加到府安裝steam
把遊戲安裝好再把新手教學跑完","3:07
https://youtu.be/11xG5ONx6WE?si=xxBRrtqIzXaUPSTE&t=187s"
"請問在精華中會在影片下方使用類似DC跳跳功能來展示誰在說話，並且在影片中還會插入一些小動畫的頻道是哪個?
(A)玉子燒
(B)嘎特
(C)自由的蘋果
(D)泰山娃娃
",(C)自由的蘋果,"0:00
https://youtu.be/_yizV37Gwq0?si=GkxDBq16Pi7b7LIz"
鳥屎提議猓玀苑的尾牙抽獎抽PS5和Switch，大家都很開心，但是有兩個人表示還好，請問這兩個人是誰?,阿北和Fick,"2:19
https://youtu.be/i6aR6qb_jQ8?si=I4Wd5Yuz5kuOGQRP&t=139s"
"請問鳥屎說他好像只要跟神燈精靈要多少錢他就滿足了?
(A)1千萬
(B)3千萬
(C)5千萬
(D)6千萬
",(B)3千萬,"0:47
https://youtu.be/1sMPKRnFnMI?si=ZPOFZ98aCdHvN1SF&t=47s"
請問老王他們2025年在參加twitch舉辦在旭集的聚會時，是選擇做高調區還是低調區?原因是甚麼?,高調區，因為他們覺得低調區會被分配到比較偏遠的位置，但他們最後還是被安排在了比較遠的地方。,"20:35
https://youtu.be/S07OabxQDPk?si=GCju2KgHyXKzt5UP&t=1235s"
請問鳥屎推測在排練自由新鎮時，排練場地板上的毛是誰的?,阿北,"8:35
https://youtu.be/WDgbvnt1wN4?si=4T7R2GsO7fj9DjGH&t=515s"
"請問鳥屎在唱新不了情的時候並沒有模仿哪位藝人?
(A)蕭敬騰
(B)李聖傑
(C)盧廣仲
(D)曾聖傑

",曾聖傑,"0:00
https://youtu.be/vyRgZz2jGJk?si=oTk8Uvk4dz8Ha-0o"
閻孝國!!!他不是____!!!，請問空格裡的人名是甚麼?,孫文,"0:00
https://youtu.be/12NMZ-IHT0g?si=16yViLJ9yEpUBDAv"
請問一個外國人幫老王取的西班牙名字叫甚麼?,Juliana,"3:24
https://youtu.be/KXEDZunRsCY?si=BzlR3IiIshc8_FyF&t=204s"
請問在變聲器之亂中，六嘆用超低、像獸人的聲音一直重複說的英文單詞是什麼?,Rebound,"1:28:49
https://youtu.be/qicTVFBnyyM?si=p9b9hG-BYNMtZUwn&t=5329s"
請問小六變胖是哪家店至少要負一半的責任?,鑫記,"25:34
https://youtu.be/mdRN5z0nfYM?si=UjR6bvmx31QypNaj&t=1534s"
"請問老王看完懶熊剪的急智歌王精華後，看到豆子就想唱:
__也難吃~__也難吃~。請完成歌詞，並且請問誰是原唱?","長豆也難吃~豌豆也難吃~
原唱是Leggy","0:37
https://youtu.be/wZApC_UB3go?si=R3kl-FcZSFTl0a7X&t=37s"
請問在申請錄取正式加入豬魔聚會時，自我錄製的評選影片是否會採計飲料?為什麼?,不會，以防有人把飲料調包，例如把可樂換成zero之類,"5:42
https://youtu.be/ppaI1jRJJL8?si=6-cLoCBqpetv3uHP&t=342s"
當歌唱指導老師要求老王唱歌時，可愛度要增加3~4倍，這件事讓老王體會到什麼人生道理?,你所有學到的技能都一定會在人生的某個時刻幫助到你。,"9:54
https://youtu.be/i6aR6qb_jQ8?si=7OchMy828mht-cx2&t=594s"
鳥屎有一個國中同學叫色貓，請問他看到哪一位藝人會拉肚子?,郭品超,"15:44
https://youtu.be/KXEDZunRsCY?si=2UAiZHLvZ7Rxrdo_&t=944s"
老王有一次叫uber，但司機停在離老王3分鐘以內的地方在消毒，請問為什麼？,因為前一個客人打嗝太臭了,"0:11
https://youtu.be/Otjbc58FLvo?si=IHO131xON75V4A4u&t=11s"
"小六怒吼:為什麼不買兩盒阿!!!老王!(#`Д´)ﾉ
這邊的兩盒請問是指在哪個國家的什麼物品?
",韓國的豆沙包,"5:45
https://youtu.be/q0TsFZUBgQA?si=i4TG1-C5DK8F4zZK&t=345s"
"以下嘴ㄆㄧㄚ和講錯配對，何者錯誤?
(A)把阿狗講成阿北-鳥屎
(B)給六嘆看講成給六看-Leggy
(C)把小六講成小M-鳥屎
(D)把綠豆講成綠透-鳥屎
",把阿狗講成阿北是老王,"14:04
https://youtu.be/lnPjf0Wktak?si=qKEwMg2iIMENAjyw&t=844s"
請問是玩什麼遊戲裡面的LNG粉絲為了辨識是不是自己人，所以都要脫褲子?,H1Z1,"18:59
https://youtu.be/hG0eD1qUrmI?si=28kaE3gVwEv-owNP&t=1139s"
請問老王說早知道他是高中生的時候就租一間套房，讓高中生有地方打炮，並且一個小時300還附贈什麼飲料?,麥香紅茶,"13:55
https://youtu.be/yyWFYHYlF4w?si=XiQFAFEozARQo0iP&t=835s"
請問是什麼遊戲很強，讓小六的Twitch獎盃可以三倍速拿到?,楓之谷,"1:57
https://youtu.be/yV_6XgbYfn8?si=y5DXqdJd02Bx0yA7&t=117s"
請問老王親戚的小孩已經不會互相吹噓了，而是會在過年的時候做什麼事？,趁別人不注意的時候，放BLACKPINK的歌直接跳起來,"9:00
https://youtu.be/Npqq0o35xt8?si=DYfzixFXXmfaSmfQ&t=540s"
老王跟Abby在上表演課的時候，Abby打電話給Rami說:「喂，阿咪喔。」但他講太快，所以老王聽成什麼?,喂 Amigo,"55:27
https://youtu.be/JfgjGCmOfzI?si=N8nUQy0ic4kC9de8&t=3327s"
請問魯蛋一直跟六嘆講說還有什麼遊戲可以玩喔，還有哪一款遊戲送你喔?,刺客教條、Watch Dog,"2:56
https://youtu.be/11xG5ONx6WE?si=xrDVChVfy0tXjcAW&t=176s"
"請閱讀以下文字回答問題
小六:反正我們就在講說要把一條網路退掉，然後從頭到尾都在講網路的事。我就說一句:「我的約要到明年阿。」他就說一句:「什麼東西約啊? 房子喔?」
淦 ㄊㄇ從頭到尾都沒提到房子都在講網路，他給我突然跳到那裡去。
老王:真的是豆頁超痛，睡到腦子都壞了。
請問文中的「他」是指誰?",八毛,"1:49
https://youtu.be/MOWm4gelL1A?si=dnrUAgnFY15GhVlY&t=109s"
請問是誰在精華中一直用語調上揚的口氣講大便(゜皿。)，然後突然停下來用非常嚴肅的口氣說:「我剛剛一瞬間想到自己要34歲了。」,六嘆,"23:16
https://youtu.be/Zku5TM9CrAE?si=bf9pvY8fedhwEVk8&t=1396s"
"請問下列哪個人不是鳥屎?
(A)拍昆蟲廣告的人
(B)粗根肉男噴射
(C)蝦愛橘子
(D)在廁所抽衛生紙的人
",在廁所抽衛生紙,
請問誰在現在宅知道中表示自己曾在高鐵上聽LNG聽到忍不住抖了一下？,臺南josh,"2:26
https://youtu.be/agXIavylZrU?si=dbl2QmqkyecZlYjC&t=146s"
"請完成以下句子：
六嘆是不是在__(兩個字)/我求求你聽一下__asmr(兩個字）
那個不算__(兩個字)/我有_(一個字)有_(一個字)，你就說我要__(兩個字)
",生氣/龜狗/春酒/刀 槍 殺人,"龜狗ASMR
https://youtu.be/hQzsbysVlpQ?si=s5nAueerIzySAPfR"
"請問下列哪句臺詞並沒有出現在2020年LNG之歌裡?
(A)帥哥的家，帥哥的第一個家
(B)很高欸那個塔
(C)還有忌有碼AV喔，想看有碼的還不行
(D)啊我沒死啦沒有綽啦
",(A)帥哥的家，帥哥的第一個家(只出現在2025年版裡),"1:20
https://youtu.be/kGtG0LmknZU?si=ZcshBI-dT3VOE_oR&t=80s"
"請問下列的嘴ㄆㄧㄚ和講錯配對，何者錯誤?
(A)大起大落講成大富大貴-鳥屎
(B)抽獎講成周獎-老王
(C)碳排放量講成踏扒飯量-老王
(D)筷子講成筷使-八毛
",(A)大起大落講成大富大貴-老王,"13:02
https://youtu.be/p-bP6LtUcis?si=-K1YItAl-V721oLZ&t=782s"
請問控肉飯精靈只能提供什麼和什麼?,控肉飯和雞腿便當,"0:30
https://youtu.be/bCBcH5IXPEg?si=IT8Y-dmuE6I1j9gE"
請問老王在2025年另外創的巴哈帳號叫什麼?,rou geng mian(肉羹麵),"0:20
https://youtu.be/jVPV8eR6Mpk?si=UehOxeWESwthCOY3&t=20s"
請問誰是實況界的度量衡?,解婕翎,"0:18
https://youtu.be/R2P7H0duuAM?si=7SoznD3c_UzOgJut&t=18s"
"在急智歌王中，鳥屎吉他只會彈什麼歌的旋律?
",五月天-擁抱,"3:40
https://youtu.be/8gQ5eOo7NLo?si=mw1v_ivK9YvMOkT8&t=220s"
請問老王有一次在打LOL的時候不小心把誰的Skype洩漏出來?,MiSTakE,"15:11
https://youtu.be/_95fIiUOIfQ?si=MqfLdr0Po_Dw7Xv-&t=911s"
"請問下列的嘴ㄆㄧㄚ和講錯配對，何者錯誤?
(A)皰狀帶疹-Leggy
(B)窗西裝外套-鳥屎
(C)台南講成台年-老王
(D)馬尬龍-六嘆
",(B)窗西裝外套-六嘆,"9:53
https://youtu.be/2pnCJHK3Q5A?si=_1kXnsPbNRMgJfu1&t=593s"
"請完成以下句子，含標點符號總共74個字。
蘇志祥__________________________________?","蘇志翔因為人生的變化,所以變得更珍惜每分每秒,他嘗試各種不同的工作,讓自己的人生更精彩豐富,有著多采多姿生活的他,今天能帶給我們,什麼樣的好歌聲呢?","0:45
https://youtu.be/IxtyiA_PyqQ?si=z2IzkDrR-FdGuoEe&t=45s"
請問是哪位實況主很瘦被六嘆稱為骷髏弓箭手，並且指出他明明這麼瘦下午茶還是吃什麼食物?,小熊  下午茶吃牛排,"17:06
https://youtu.be/MOWm4gelL1A?si=NTdEG6d28EBg92SC&t=1026s"
請問鳥屎教六嘆用調理包煮羊肉咖哩的步驟，被六嘆簡化成什麼口訣?,炒馬丟羊倒調,"14:56
https://youtu.be/gyfv0F-Negw?si=l1bmnOu7ium-5OS5&t=896s"
請問鳥屎模仿黴菌被地震震醒後，感染番茄時的聲音，Leggy說很像什麼?,好像除蟲廣告的蟑螂,"4:02
https://youtu.be/hcAluNFA0Lk?si=l5vd8kgIrcLYRxKI&t=242s"
請問PM2.5的老二精蟲出不來的話，鳥屎說就學獵人裡面的誰?怎麼解決?,學窩金喝啤酒把它尿出來,"3:25
https://youtu.be/zH7jRdJXPWI?si=wyVWE5wo6SKPcCKK&t=205s"
請問老王問李迅新鄰居怎麼樣?吵不吵?的時候，李迅對新鄰居的評價是什麼?,新鄰居蠻潮的,"5:36
https://youtu.be/YPbuTe3Xeow?si=uk1pBaQ0vxwT5kZR&t=336s"
"請問下列老王是下列哪個惡魔果實能力者?
(A)拖拉果實
(B)懶豬果實
(C)鐵膀胱果實
(D)小確幸果實
(E)以上皆是
","(E)以上皆是","13:57
https://youtu.be/b_sKCFQMXRs?si=2hYX5LRyuwkvTMC_&t=837s"
鳥屎聽到隔壁鄰居在吵架，吵到最後，男生要睡覺了，女生說了一句:「你真的很扯欸，你現在跟我說分手，然後我還要睡你旁邊，這根本就____嘛。」,同床異夢,"0:37
https://youtu.be/udkZTLyZUPY?si=yVfbh-3cn0IRqZpN&t=37s"
"從未失去、醜男、定存仔
請問上述關鍵字皆是從哪個桌遊衍伸出來的?",印加寶藏,"0:00
https://youtu.be/hVrIZtgXXPY?si=G19cYTEOhaTeUxg8"
請問鳥屎形容Fick長得像什麼中國古典小說的人物?,魯智深,"6:28
https://youtu.be/V2tRvUDM_70?si=bZsxXNXz1kNfJrhV&t=388s"
有一次小六遇到一個計程車司機問他晚上有沒有空，因為有一個女生每次都會約他的車去很遠的地方，她每次又都會先付錢，所以也不能拒絕，但這次真的太遠了，請問這次要去什麼地方？,墾丁,"3:13
https://youtu.be/-bQ_w1hHAMI?si=N1yBf-pfG_7JUZzi＆t=193s"
請問八毛都在他很常去吃的那家鍋燒麵點什麼品項來吃?有一次他吃不完叫老王進來吃的原因是因為他多點了什麼?,辛拉麵，多點了蒜泥白肉,"5:22
https://youtu.be/-HF3VHVtpVg?si=CiR_ad3hMycPg16c&t=322s"
"當談到玩Fallout把整個城屠光還會被觀眾罵，Leggy對此的回應是什麼?",爽啦，去死吧 (魔王笑,"24:14
https://youtu.be/x56gy20xUoA?si=tzQrfgMtsBvInBuH&t=1454s"
請問八毛在玩GeoGusser時，把拉斯維加斯的照片猜成哪裡?,莫三比克,"3:44
https://youtu.be/71HBHJEtmbQ?si=DEdR5h8UxQZFKasD&t=224s"
"以下對話的發言者配對何者正確?
(A)在烤肉店對老王說:「你不覺得他們講話真的很白癡嗎?」-鳥屎
(B)欸 名字可以自己取欸 - 老王
(C)靠!閃現上來啦 - 六嘆
(D)讓我們歡迎非常知名的實況主~，他是誰呢? ~ - 六嘆
",(A)在烤肉店對老王說:「你不覺得他們講話真的很白癡嗎?」-鳥屎,"1:33
https://youtu.be/b7iT87g3gsU?si=ruvO_aVG8LeSKV-b&t=93s"
"腦筋急轉彎
看到殘血的塔，猜一家餐廳。",饗 A Joy,"17:10
https://youtu.be/bMeWcptJvPU?si=C7_OhtxSzzReLNjt&t=1030s"
"請將下列四首歌依照影片觀看次數由高到低排序
(A)《CatWalk》- 鳥屎&XICO ft. 阿樂
(B)《大麻煩》阿民&鳥屎
(C)《新不了情&眼底星空》- 鳥屎
(D)《Rewrite The Stars》- 浠Mizuki & 鳥屎
",(A)>(D)>(C)>(B),https://youtu.be/sv312zqP3ro?si=QE_FdvcIdkxkh3cg
請問小六說猓玀苑的什麼東西如果再不改的話，員工都要換人工膝蓋了?,樓梯,"1:48
https://youtu.be/X7DErqqRaE8?si=k0rlaZ0qv6ysyT6r&t=108s"
小六在聽五月天的演唱會睡著的時候，請問老王轉頭很大聲地問李迅什麼?,他是低溫致死了嗎?Σ(°Д°;,"14:28
https://youtu.be/UV32clSfR0s?si=8ZrsxIVG_hh9RVsH&t=868s"
請問八毛把筷子插在什麼蔬菜裡，蓋子也沒蓋，放了一整個晚上?,地瓜葉,"30:01
https://youtu.be/MOWm4gelL1A?si=s3n9clisrQtbtfiW&t=1801s"
請問Fick在疫情lockdown期間一直煮什麼料理，而且越煮越好吃?,咖哩,"6:15
https://youtu.be/D9PZATJGhB8?si=lFLvcCtzXZ-o-Vwl&t=375s"
我還可以跳舞咧ヽ(́◕◞౪◟◕‵)ﾉ 這句話是六嘆在什麼情況下講出來的?,喝醉的時候,"1:30
https://youtu.be/NjX_cEHBsH0?si=8ZUeW-vy451GbCeC&t=90s"
六嘆有一次超想拉肚子的時候，在全家的廁所外面等了5、6分鐘，最後是一個外勞出來，他才進去爆噴，請問他是怎麼知道他等了5、6分鐘?,因為外面蔡依林的歌播了三條,"1:17
https://youtu.be/4n-YRAGAyQQ?si=rXUFRrOGbucASKs5&t=77s"
